site_id,lot_id,node,cell,covered
existing_site_1,lot_800,4G,cell_1,1
existing_site_1,lot_800,5G,cell_1,1
existing_site_1,lot_848,4G,cell_2,1
existing_site_1,lot_848,5G,cell_2,1
existing_site_1,lot_849,4G,cell_3,1
existing_site_1,lot_849,5G,cell_3,1
existing_site_1,lot_850,4G,cell_1,1
existing_site_1,lot_850,5G,cell_1,1
existing_site_1,lot_894,4G,cell_2,1
existing_site_1,lot_894,5G,cell_2,1
existing_site_1,lot_895,4G,cell_3,1
existing_site_1,lot_895,5G,cell_3,1
existing_site_1,lot_896,4G,cell_1,1
existing_site_1,lot_896,5G,cell_1,1
existing_site_1,lot_897,4G,cell_2,1
existing_site_1,lot_897,5G,cell_2,1
existing_site_1,lot_898,4G,cell_3,1
existing_site_1,lot_898,5G,cell_3,1
existing_site_1,lot_899,4G,cell_1,1
existing_site_1,lot_899,5G,cell_1,1
existing_site_1,lot_941,4G,cell_2,1
existing_site_1,lot_941,5G,cell_2,1
existing_site_1,lot_944,4G,cell_3,1
existing_site_1,lot_944,5G,cell_3,1
existing_site_1,lot_945,4G,cell_1,1
existing_site_1,lot_945,5G,cell_1,1
existing_site_1,lot_947,4G,cell_2,1
existing_site_1,lot_947,5G,cell_2,1
existing_site_1,lot_948,4G,cell_3,1
existing_site_1,lot_948,5G,cell_3,1
existing_site_1,lot_988,4G,cell_1,1
existing_site_1,lot_988,5G,cell_1,1
existing_site_1,lot_990,4G,cell_2,1
existing_site_1,lot_990,5G,cell_2,1
existing_site_1,lot_991,4G,cell_3,1
existing_site_1,lot_991,5G,cell_3,1
existing_site_1,lot_992,4G,cell_1,1
existing_site_1,lot_992,5G,cell_1,1
existing_site_1,lot_994,4G,cell_2,1
existing_site_1,lot_994,5G,cell_2,1
existing_site_1,lot_995,4G,cell_3,1
existing_site_1,lot_995,5G,cell_3,1
existing_site_1,lot_996,4G,cell_1,1
existing_site_1,lot_996,5G,cell_1,1
existing_site_1,lot_1035,4G,cell_2,1
existing_site_1,lot_1035,5G,cell_2,1
existing_site_1,lot_1037,4G,cell_3,1
existing_site_1,lot_1037,5G,cell_3,1
existing_site_1,lot_1038,4G,cell_1,1
existing_site_1,lot_1038,5G,cell_1,1
existing_site_1,lot_1039,4G,cell_2,1
existing_site_1,lot_1039,5G,cell_2,1
existing_site_1,lot_1040,4G,cell_3,1
existing_site_1,lot_1040,5G,cell_3,1
existing_site_1,lot_1041,4G,cell_1,1
existing_site_1,lot_1041,5G,cell_1,1
existing_site_1,lot_1042,4G,cell_2,1
existing_site_1,lot_1042,5G,cell_2,1
existing_site_1,lot_1043,4G,cell_3,1
existing_site_1,lot_1043,5G,cell_3,1
existing_site_1,lot_1044,4G,cell_1,1
existing_site_1,lot_1044,5G,cell_1,1
existing_site_1,lot_1082,4G,cell_2,1
existing_site_1,lot_1082,5G,cell_2,1
existing_site_1,lot_1083,4G,cell_3,1
existing_site_1,lot_1083,5G,cell_3,1
existing_site_1,lot_1084,4G,cell_1,1
existing_site_1,lot_1084,5G,cell_1,1
existing_site_1,lot_1086,4G,cell_2,1
existing_site_1,lot_1086,5G,cell_2,1
existing_site_1,lot_1088,4G,cell_3,1
existing_site_1,lot_1088,5G,cell_3,1
existing_site_1,lot_1089,4G,cell_1,1
existing_site_1,lot_1089,5G,cell_1,1
existing_site_1,lot_1090,4G,cell_2,1
existing_site_1,lot_1090,5G,cell_2,1
existing_site_1,lot_1091,4G,cell_3,1
existing_site_1,lot_1091,5G,cell_3,1
existing_site_1,lot_1092,4G,cell_1,1
existing_site_1,lot_1092,5G,cell_1,1
existing_site_1,lot_1130,4G,cell_2,1
existing_site_1,lot_1130,5G,cell_2,1
existing_site_1,lot_1131,4G,cell_3,1
existing_site_1,lot_1131,5G,cell_3,1
existing_site_1,lot_1132,4G,cell_1,1
existing_site_1,lot_1132,5G,cell_1,1
existing_site_1,lot_1133,4G,cell_2,1
existing_site_1,lot_1133,5G,cell_2,1
existing_site_1,lot_1134,4G,cell_3,1
existing_site_1,lot_1134,5G,cell_3,1
existing_site_1,lot_1136,4G,cell_1,1
existing_site_1,lot_1136,5G,cell_1,1
existing_site_1,lot_1137,4G,cell_2,1
existing_site_1,lot_1137,5G,cell_2,1
existing_site_1,lot_1138,4G,cell_3,1
existing_site_1,lot_1138,5G,cell_3,1
existing_site_1,lot_1139,4G,cell_1,1
existing_site_1,lot_1139,5G,cell_1,1
existing_site_1,lot_1176,4G,cell_2,1
existing_site_1,lot_1176,5G,cell_2,1
existing_site_1,lot_1177,4G,cell_3,1
existing_site_1,lot_1177,5G,cell_3,1
existing_site_1,lot_1179,4G,cell_1,1
existing_site_1,lot_1179,5G,cell_1,1
existing_site_1,lot_1181,4G,cell_2,1
existing_site_1,lot_1181,5G,cell_2,1
existing_site_1,lot_1183,4G,cell_3,1
existing_site_1,lot_1183,5G,cell_3,1
existing_site_1,lot_1185,4G,cell_1,1
existing_site_1,lot_1185,5G,cell_1,1
existing_site_1,lot_1186,4G,cell_2,1
existing_site_1,lot_1186,5G,cell_2,1
existing_site_1,lot_1187,4G,cell_3,1
existing_site_1,lot_1187,5G,cell_3,1
existing_site_1,lot_1223,4G,cell_1,1
existing_site_1,lot_1223,5G,cell_1,1
existing_site_1,lot_1225,4G,cell_2,1
existing_site_1,lot_1225,5G,cell_2,1
existing_site_1,lot_1226,4G,cell_3,1
existing_site_1,lot_1226,5G,cell_3,1
existing_site_1,lot_1227,4G,cell_1,1
existing_site_1,lot_1227,5G,cell_1,1
existing_site_1,lot_1231,4G,cell_2,1
existing_site_1,lot_1231,5G,cell_2,1
existing_site_1,lot_1232,4G,cell_3,1
